"TEAM_ABBREVIATION","PotAstDiff","PassMadeDiff","MIN","newCoach","SelfDiff","SpeedDiff"
"ATL",-3.6,-9.10000000000002,0.903730654761905,1,0.0660000000000001,-0.0199999999999996
"BKN",-2.9,-0.699999999999989,0.703096726190476,0,0.00900000000000001,0.00999999999999979
"BOS",5,4.40000000000003,0.785054026503568,1,-0.04,-0.0899999999999999
"CHA",-0.399999999999999,-8.5,0.725262100456621,0,0.029,0.0500000000000007
"CHI",-4.4,-12.6,0.414821047008547,0,0.044,-0.0599999999999996
"CLE",3.8,-5,0.647523313492064,0,-0.028,0
"DAL",2,-13.1,0.80883912037037,1,-0.013,-0.0100000000000007
"DEN",-1.7,10.9,0.860014957264957,0,0.002,-0.0499999999999998
"DET",2.9,32.6,0.761940972222222,0,-0.0339999999999999,0
"GSW",8.1,10.3,0.752822999470058,0,-0.0679999999999999,-0.0599999999999996
"HOU",-6,-9.5,0.674215277777778,0,0.046,-0.0100000000000007
"IND",-3.2,5.29999999999995,0.761204301075269,1,-0.014,-0.0700000000000003
"LAC",3.5,-1.5,0.780237179487179,0,0.001,0.0300000000000002
"LAL",1,-16.3,0.215067928190199,0,0.001,0.0100000000000007
"MEM",2.7,6.09999999999997,0.801271819137749,0,-0.02,-0.0599999999999996
"MIA",-0.100000000000001,6.60000000000002,0.640122502628812,0,0.00900000000000001,-0.0800000000000001
"MIL",-1.40000000000001,7.09999999999997,0.599402264894141,0,0.00700000000000001,0.0199999999999996
"MIN",1.90000000000001,-9,0.854496844520941,1,-0.016,-0.0800000000000001
"NOP",1.9,7.09999999999997,0.442142857142857,1,-0.018,-0.0600000000000005
"NYK",0.600000000000001,-4.39999999999998,0.765735015772871,0,0.0149999999999999,0
"OKC",2.4,-5.10000000000002,0.696982060185185,0,-0.011,-0.0300000000000002
"ORL",3.5,15.9,0.727019764957265,1,-0.052,0.00999999999999979
"PHI",-1.8,-13.4,0.811090773809524,0,0.00700000000000001,0
"PHX",0.199999999999996,-18.2,0.832194444444444,0,0.004,-0.00999999999999979
"POR",6.2,25.8,0.796891369047619,1,-0.052,0.12
"SAC",-4.6,2,0.810346688034188,0,0.043,0.00999999999999979
"SAS",7,34.1,0.802490726020138,0,-0.0570000000000001,0.130000000000001
"TOR",-6.3,-22.3,0.616622023809524,0,0.0620000000000001,0.0299999999999994
"UTA",-1.2,-23.2,0.854025641025641,0,0.015,-0.0699999999999994
"WAS",-3.3,7.60000000000002,0.397327129159617,1,0.021,-0.109999999999999
