"idTeam","slugTeam","urlThumbnailTeam","Transition2020-21","Transition2021-22","Isolation2020-21","Isolation2021-22","PRBallHandler2020-21","PRBallHandler2021-22","PRRollman2020-21","PRRollman2021-22","Postup2020-21","Postup2021-22","Spotup2020-21","Spotup2021-22","Handoff2020-21","Handoff2021-22","Cut2020-21","Cut2021-22","OffScreen2020-21","OffScreen2021-22","OffRebound2020-21","OffRebound2021-22"
1610612764,"WAS","https://stats.nba.com/media/img/teams/logos/WAS_logo.svg","0.189","0.2","0.102","0.121","0.224","0.256","0.087","0.097","0.102","0.073","0.237","0.238","0.07","0.069","0.087","0.118","0.08","0.094","0.061","0.072"
1610612762,"UTA","https://stats.nba.com/media/img/teams/logos/UTA_logo.svg","0.194","0.203","0.099","0.115","0.218","0.237","0.069","0.075","0.085","0.07","0.269","0.271","0.078","0.077","0.089","0.102","0.05","0.059","0.066","0.067"
1610612761,"TOR","https://stats.nba.com/media/img/teams/logos/TOR_logo.svg","0.187","0.189","0.086","0.09","0.223","0.248","0.082","0.083","0.078","0.063","0.258","0.254","0.075","0.081","0.088","0.087","0.055","0.057","0.065","0.057"
1610612759,"SAS","https://stats.nba.com/media/img/teams/logos/SAS_logo.svg","0.184","0.196","0.085","0.107","0.205","0.212","0.066","0.067","0.067","0.062","0.247","0.271","0.069","0.069","0.087","0.097","0.051","0.049","0.061","0.064"
1610612758,"SAC","https://stats.nba.com/media/img/teams/logos/SAC_logo.svg","0.186","0.168","0.081","0.083","0.222","0.186","0.071","0.079","0.063","0.07","0.237","0.229","0.06","0.079","0.082","0.075","0.047","0.06","0.063","0.057"
1610612757,"POR","https://stats.nba.com/media/img/teams/logos/POR_logo.svg","0.181","0.184","0.078","0.086","0.223","0.187","0.068","0.07","0.057","0.058","0.263","0.236","0.062","0.061","0.094","0.069","0.054","0.056","0.057","0.05"
1610612756,"PHX","https://stats.nba.com/media/img/teams/logos/PHX_logo.svg","0.161","0.183","0.084","0.1","0.2","0.214","0.066","0.067","0.054","0.052","0.269","0.251","0.061","0.063","0.09","0.066","0.05","0.04","0.056","0.053"
1610612755,"PHI","https://stats.nba.com/media/img/teams/logos/PHI_logo.svg","0.163","0.184","0.078","0.093","0.191","0.204","0.067","0.073","0.058","0.04","0.246","0.238","0.053","0.05","0.079","0.082","0.046","0.044","0.057","0.055"
1610612753,"ORL","https://stats.nba.com/media/img/teams/logos/ORL_logo.svg","0.165","0.164","0.079","0.076","0.198","0.217","0.061","0.078","0.055","0.049","0.244","0.23","0.059","0.055","0.076","0.067","0.046","0.041","0.056","0.048"
1610612760,"OKC","https://stats.nba.com/media/img/teams/logos/OKC_logo.svg","0.165","0.18","0.071","0.081","0.218","0.164","0.066","0.066","0.055","0.037","0.235","0.216","0.053","0.05","0.075","0.064","0.044","0.045","0.055","0.057"
1610612752,"NYK","https://stats.nba.com/media/img/teams/logos/NYK_logo.svg","0.159","0.165","0.062","0.079","0.203","0.19","0.061","0.064","0.048","0.049","0.237","0.216","0.045","0.059","0.075","0.069","0.043","0.036","0.056","0.047"
1610612740,"NOP","https://stats.nba.com/media/img/teams/logos/NOP_logo.svg","0.159","0.155","0.06","0.075","0.174","0.183","0.059","0.042","0.048","0.044","0.24","0.25","0.051","0.06","0.07","0.063","0.046","0.044","0.05","0.05"
1610612750,"MIN","https://stats.nba.com/media/img/teams/logos/MIN_logo.svg","0.169","0.137","0.053","0.063","0.178","0.196","0.056","0.06","0.048","0.048","0.244","0.221","0.054","0.05","0.069","0.068","0.045","0.037","0.049","0.046"
1610612749,"MIL","https://stats.nba.com/media/img/teams/logos/MIL_logo.svg","0.154","0.161","0.057","0.057","0.182","0.168","0.064","0.075","0.042","0.043","0.229","0.225","0.049","0.06","0.071","0.065","0.041","0.043","0.048","0.048"
1610612748,"MIA","https://stats.nba.com/media/img/teams/logos/MIA_logo.svg","0.15","0.148","0.061","0.071","0.19","0.161","0.058","0.064","0.046","0.039","0.216","0.229","0.05","0.045","0.068","0.062","0.041","0.049","0.048","0.057"
1610612763,"MEM","https://stats.nba.com/media/img/teams/logos/MEM_logo.svg","0.153","0.171","0.052","0.052","0.172","0.202","0.057","0.063","0.046","0.033","0.225","0.258","0.052","0.038","0.069","0.073","0.045","0.048","0.053","0.051"
1610612747,"LAL","https://stats.nba.com/media/img/teams/logos/LAL_logo.svg","0.141","0.143","0.053","0.061","0.171","0.18","0.055","0.048","0.042","0.028","0.22","0.235","0.047","0.046","0.071","0.06","0.038","0.04","0.05","0.062"
1610612746,"LAC","https://stats.nba.com/media/img/teams/logos/LAC_logo.svg","0.161","0.158","0.053","0.059","0.184","0.184","0.061","0.066","0.039","0.039","0.225","0.205","0.047","0.059","0.063","0.063","0.035","0.04","0.051","0.041"
1610612754,"IND","https://stats.nba.com/media/img/teams/logos/IND_logo.svg","0.149","0.172","0.053","0.062","0.148","0.148","0.058","0.055","0.047","0.04","0.243","0.229","0.051","0.042","0.063","0.057","0.039","0.047","0.048","0.043"
1610612745,"HOU","https://stats.nba.com/media/img/teams/logos/HOU_logo.svg","0.144","0.155","0.05","0.055","0.154","0.153","0.062","0.049","0.037","0.028","0.22","0.229","0.049","0.053","0.061","0.053","0.038","0.04","0.045","0.048"
1610612744,"GSW","https://stats.nba.com/media/img/teams/logos/GSW_logo.svg","0.141","0.162","0.052","0.041","0.145","0.137","0.051","0.051","0.034","0.033","0.21","0.217","0.051","0.045","0.058","0.053","0.038","0.033","0.047","0.04"
1610612765,"DET","https://stats.nba.com/media/img/teams/logos/DET_logo.svg","0.14","0.133","0.053","0.05","0.162","0.144","0.056","0.067","0.039","0.027","0.228","0.194","0.048","0.042","0.054","0.059","0.039","0.033","0.046","0.049"
1610612743,"DEN","https://stats.nba.com/media/img/teams/logos/DEN_logo.svg","0.132","0.141","0.049","0.044","0.154","0.184","0.053","0.042","0.034","0.033","0.225","0.2","0.043","0.04","0.055","0.072","0.032","0.024","0.046","0.056"
1610612742,"DAL","https://stats.nba.com/media/img/teams/logos/DAL_logo.svg","0.133","0.147","0.055","0.045","0.169","0.171","0.053","0.048","0.031","0.034","0.198","0.218","0.042","0.039","0.057","0.064","0.039","0.036","0.047","0.05"
1610612739,"CLE","https://stats.nba.com/media/img/teams/logos/CLE_logo.svg","0.127","0.136","0.058","0.065","0.164","0.141","0.05","0.078","0.032","0.025","0.211","0.204","0.036","0.024","0.058","0.059","0.035","0.033","0.042","0.048"
1610612741,"CHI","https://stats.nba.com/media/img/teams/logos/CHI_logo.svg","0.129","0.138","0.047","0.046","0.164","0.136","0.051","0.051","0.024","0.013","0.213","0.213","0.043","0.037","0.054","0.048","0.033","0.026","0.039","0.045"
1610612766,"CHA","https://stats.nba.com/media/img/teams/logos/CHA_logo.svg","0.123","0.142","0.047","0.053","0.15","0.131","0.049","0.046","0.024","0.013","0.191","0.209","0.04","0.041","0.052","0.056","0.026","0.021","0.043","0.044"
1610612751,"BKN","https://stats.nba.com/media/img/teams/logos/BKN_logo.svg","0.132","0.131","0.041","0.058","0.147","0.137","0.048","0.043","0.028","0.012","0.214","0.267","0.039","0.025","0.051","0.06","0.029","0.027","0.041","0.037"
1610612738,"BOS","https://stats.nba.com/media/img/teams/logos/BOS_logo.svg","0.118","0.138","0.041","0.033","0.15","0.148","0.045","0.039","0.024","0.014","0.196","0.187","0.034","0.04","0.056","0.044","0.022","0.025","0.046","0.034"
1610612737,"ATL","https://stats.nba.com/media/img/teams/logos/ATL_logo.svg","0.119","0.138","0.041","0.029","0.13","0.116","0.035","0.026","0.019","0.011","0.215","0.175","0.034","0.024","0.049","0.048","0.022","0.022","0.036","0.037"
