"idTeam","slugTeam","urlThumbnailTeam","Transition2020-21","Transition2021-22","Isolation2020-21","Isolation2021-22","PRBallHandler2020-21","PRBallHandler2021-22","PRRollman2020-21","PRRollman2021-22","Postup2020-21","Postup2021-22","Spotup2020-21","Spotup2021-22","Handoff2020-21","Handoff2021-22","Cut2020-21","Cut2021-22","OffScreen2020-21","OffScreen2021-22","OffRebound2020-21","OffRebound2021-22"
1610612764,"WAS","https://stats.nba.com/media/img/teams/logos/WAS_logo.svg","0.142","0.143","0.047","0.047","0.107","0.149","0.037","0.045","0.032","0.019","0.177","0.146","0.032","0.034","0.055","0.055","0.028","0.033","0.042","0.039"
1610612762,"UTA","https://stats.nba.com/media/img/teams/logos/UTA_logo.svg","0.14","0.151","0.051","0.044","0.116","0.137","0.044","0.051","0.04","0.033","0.197","0.181","0.032","0.036","0.06","0.056","0.032","0.032","0.05","0.038"
1610612761,"TOR","https://stats.nba.com/media/img/teams/logos/TOR_logo.svg","0.148","0.134","0.052","0.048","0.137","0.137","0.047","0.042","0.037","0.026","0.198","0.195","0.046","0.045","0.066","0.048","0.032","0.032","0.05","0.041"
1610612759,"SAS","https://stats.nba.com/media/img/teams/logos/SAS_logo.svg","0.141","0.152","0.056","0.049","0.156","0.196","0.042","0.05","0.04","0.023","0.213","0.213","0.043","0.051","0.062","0.055","0.041","0.029","0.046","0.044"
1610612758,"SAC","https://stats.nba.com/media/img/teams/logos/SAC_logo.svg","0.146","0.161","0.058","0.061","0.17","0.14","0.049","0.059","0.041","0.037","0.22","0.229","0.05","0.043","0.059","0.055","0.038","0.028","0.049","0.05"
1610612757,"POR","https://stats.nba.com/media/img/teams/logos/POR_logo.svg","0.146","0.159","0.059","0.064","0.169","0.165","0.051","0.059","0.041","0.028","0.202","0.2","0.043","0.043","0.063","0.058","0.037","0.028","0.051","0.049"
1610612756,"PHX","https://stats.nba.com/media/img/teams/logos/PHX_logo.svg","0.14","0.135","0.049","0.053","0.16","0.171","0.058","0.044","0.043","0.025","0.211","0.189","0.048","0.041","0.062","0.066","0.036","0.041","0.047","0.05"
1610612755,"PHI","https://stats.nba.com/media/img/teams/logos/PHI_logo.svg","0.147","0.159","0.056","0.076","0.174","0.153","0.053","0.053","0.043","0.041","0.219","0.218","0.051","0.051","0.064","0.061","0.04","0.04","0.049","0.04"
1610612753,"ORL","https://stats.nba.com/media/img/teams/logos/ORL_logo.svg","0.145","0.175","0.05","0.064","0.165","0.178","0.058","0.057","0.04","0.037","0.227","0.211","0.046","0.044","0.067","0.059","0.042","0.045","0.049","0.044"
1610612760,"OKC","https://stats.nba.com/media/img/teams/logos/OKC_logo.svg","0.153","0.17","0.059","0.063","0.167","0.176","0.063","0.049","0.047","0.028","0.213","0.221","0.049","0.05","0.064","0.062","0.042","0.036","0.052","0.042"
1610612752,"NYK","https://stats.nba.com/media/img/teams/logos/NYK_logo.svg","0.151","0.154","0.058","0.061","0.183","0.153","0.056","0.05","0.045","0.056","0.226","0.24","0.052","0.045","0.064","0.07","0.039","0.044","0.049","0.052"
1610612740,"NOP","https://stats.nba.com/media/img/teams/logos/NOP_logo.svg","0.162","0.163","0.061","0.051","0.181","0.176","0.062","0.055","0.044","0.042","0.229","0.199","0.055","0.048","0.068","0.06","0.04","0.044","0.05","0.053"
1610612750,"MIN","https://stats.nba.com/media/img/teams/logos/MIN_logo.svg","0.141","0.157","0.064","0.06","0.178","0.176","0.057","0.07","0.039","0.036","0.217","0.225","0.05","0.057","0.07","0.077","0.039","0.029","0.051","0.047"
1610612749,"MIL","https://stats.nba.com/media/img/teams/logos/MIL_logo.svg","0.154","0.141","0.062","0.067","0.182","0.179","0.063","0.059","0.044","0.04","0.216","0.222","0.046","0.05","0.063","0.063","0.038","0.044","0.052","0.046"
