"Team","Restricted Areadiff","In The Paint (Non-RA)diff","Mid-Rangediff","Left Corner 3diff","Right Corner 3diff","Above the Break 3diff"
"Atlanta Hawks",-3.3,0.0999999999999996,-1.1,0.399999999999999,-0.1,3.9
"Boston Celtics",-0.100000000000001,0.0999999999999979,0.200000000000001,0.7,-0.3,2.4
"Brooklyn Nets",3.8,-2.6,2.5,-0.8,0.2,-2.2
"Charlotte Hornets",-2.8,3.1,2.3,0.6,-2.2,2.4
"Chicago Bulls",-0.0999999999999979,-1.1,1,-0.1,0.2,-0.899999999999999
"Cleveland Cavaliers",-0.0999999999999979,0.5,2.8,-0.2,-0.399999999999999,-0.300000000000001
"Dallas Mavericks",-0.5,1.1,3,0.9,0.2,-4.5
"Denver Nuggets",-1.2,4.5,-1.4,-0.4,0.399999999999999,-2.6
"Detroit Pistons",-2.9,-2.1,1.4,-1.1,-0.5,1.1
"Golden State Warriors",-4.2,-0.199999999999999,-1.6,1.5,0.4,3
"Houston Rockets",-0.399999999999999,-3.7,1.2,0.3,0.4,3.5
"Indiana Pacers",-6.5,2.9,1.5,-0.3,-0.6,0.400000000000002
"LA Clippers",3.6,-0.300000000000001,-2,1.9,-0.3,2.7
"Los Angeles Lakers",3.7,-1.4,-2.6,1.8,-1,5.3
"Memphis Grizzlies",0.900000000000002,-1,0.6,-0.7,-0.2,1
"Miami Heat",-1.4,-0.5,-0.0999999999999996,0.2,0.3,2.9
"Milwaukee Bucks",2.5,-0.799999999999997,-2.8,-0.3,0.4,-0.899999999999999
"Minnesota Timberwolves",-3.2,-0.699999999999999,-1.2,2.1,0.7,1
"New Orleans Pelicans",-3.8,3.1,3,-2,0.6,-3.4
"New York Knicks",-0.800000000000001,-1.8,1.7,0.8,0.7,3.8
"Oklahoma City Thunder",-3.6,1.9,0.700000000000001,-1.1,1.5,1.3
"Orlando Magic",-3.3,-0.5,3.2,0.4,0.4,-0.800000000000001
"Philadelphia 76ers",-0.899999999999999,2.2,1,0.5,0.4,-1.3
"Phoenix Suns",-2.7,2.4,1,0.4,0,2.8
"Portland Trail Blazers",0.399999999999999,-1.2,-1.4,0.100000000000001,0.600000000000001,1.3
"Sacramento Kings",-0.700000000000003,2.6,0,-0.4,1.1,0.600000000000001
"San Antonio Spurs",0.100000000000001,-1.7,-1.4,-0.0999999999999996,-0.4,4.7
"Toronto Raptors",0.199999999999999,-0.4,1.4,0.2,0.3,-3.6
"Utah Jazz",-1.8,-0.699999999999999,0.399999999999999,0.2,-0.1,-0.199999999999999
"Washington Wizards",2.4,-0.5,0.300000000000001,-0.4,-0.7,-1.4
