"Team","Restricted Areadiff","In The Paint (Non-RA)diff","Mid-Rangediff","Left Corner 3diff","Right Corner 3diff","Above the Break 3diff"
"Atlanta Hawks",-2.1,1.3,5.9,0.4,-0.6,-1.9
"Boston Celtics",-0.399999999999999,0.400000000000002,2.1,0.800000000000001,0.9,-1.6
"Brooklyn Nets",-7.6,0.6,5,1.3,-0.9,-1.8
"Charlotte Hornets",2.9,3.8,1,1,-0.3,-1.7
"Chicago Bulls",-0.5,-1.6,7.1,-2.1,0.8,-5.5
"Cleveland Cavaliers",-2.2,-3.2,1.6,0.7,0.3,1.6
"Dallas Mavericks",-2.6,-0.6,2.5,0.2,0.2,0.900000000000002
"Denver Nuggets",0.600000000000001,-3.6,0,-0.0999999999999996,-0.4,1.1
"Detroit Pistons",0.199999999999999,-2.8,0.800000000000001,0.8,1.3,1.3
"Golden State Warriors",0.699999999999999,-1.5,-1.8,0.5,0.800000000000001,2.6
"Houston Rockets",2.8,0.700000000000001,-1.4,-0.7,-2.1,-3.3
"Indiana Pacers",-6.1,-0.0999999999999996,2.4,0.2,0.3,0.700000000000003
"LA Clippers",2.5,-1,-2.3,-1,1,4.3
"Los Angeles Lakers",1.6,-2.5,4.4,-0.9,0.2,2.3
"Memphis Grizzlies",0,-1.5,-0.9,0.9,0.8,3.4
"Miami Heat",-1.5,3.7,5.4,1.7,-0.5,-4.3
"Milwaukee Bucks",-3,-0.9,-1.1,1.4,0.6,1.9
"Minnesota Timberwolves",-5.2,3.9,-1.6,0,0.8,4.6
"New Orleans Pelicans",-8.1,2.2,2.9,0.0999999999999996,-0.1,3.7
"New York Knicks",-0.199999999999999,-2.3,-2.6,-0.600000000000001,-0.0999999999999996,8.3
"Oklahoma City Thunder",-2,1.9,-0.5,1,-0.1,0.899999999999999
"Orlando Magic",1.7,-3.8,-6.9,1.4,1,3.9
"Philadelphia 76ers",-2.1,-1.3,-0.800000000000001,-0.6,-0.0999999999999996,3.9
"Phoenix Suns",1.8,3.6,-0.699999999999999,-1.7,-0.399999999999999,-1.5
"Portland Trail Blazers",3.4,-0.4,-3.2,0.899999999999999,0.1,-1.6
"Sacramento Kings",-2.6,-0.0999999999999979,0.899999999999999,0.300000000000001,-0.4,2.6
"San Antonio Spurs",-0.800000000000001,5.4,-2.9,0,1,-0.400000000000002
"Toronto Raptors",0.699999999999999,3.8,5.9,-0.9,-1.2,-5.9
"Utah Jazz",1.1,-0.700000000000001,-1.8,-0.6,-0.3,0.100000000000001
"Washington Wizards",0.600000000000001,-0.599999999999998,-6,0.2,-0.1,3
